Freq,Real,image,Type
1198.493042,69.244377,9.199621,bad
1740.479736,66.881355,7.866863,bad
2527.56543,64.747658,6.35291,bad
3670.589844,62.832333,4.474603,bad
5330.516602,61.212288,2.19678,bad
7741.101563,59.872009,-0.618902,bad
11241.80957,58.584499,-4.040142,bad
16325.61914,56.992455,-8.671881,bad
23708.44727,54.847588,-15.867403,bad
34429.96484,52.813095,-27.452198,bad
50000,52.314739,-44.976692,bad
1,159.272186,70.652466,bad
1.452223,143.686707,56.091999,bad
2.108953,134.322891,44.369541,bad
3.062671,127.968048,35.898823,bad
4.447683,123.061928,29.963102,bad
6.459029,118.686058,25.940022,bad
9.379953,114.464226,23.353796,bad
13.621789,110.103432,21.602438,bad
19.781881,105.596306,20.273819,bad
28.727713,101.071976,19.013571,bad
41.719059,96.722977,17.651117,bad
60.585392,92.764496,16.192745,bad
87.983528,89.240623,14.7991,bad
127.771744,86.08168,13.573788,bad
185.553131,83.204811,12.583526,bad
269.4646,80.40229,11.786813,bad
391.322815,77.749756,10.997803,bad
568.288208,75.186539,10.124688,bad
825.281433,72.760185,9.328217,bad
1198.493042,70.472725,8.307442,bad
1740.479736,68.415497,7.151041,bad
2527.56543,66.563332,5.813424,bad
3670.589844,65.045425,4.196706,bad
5330.516602,63.976433,2.371443,bad
7741.101563,63.457047,0.424602,bad
11241.80957,63.411594,-1.332902,bad
16325.61914,63.110943,-2.576831,bad
23708.44727,61.114861,-3.844849,bad
34429.96484,55.888844,-7.236365,bad
50000,47.409111,-16.996956,bad
1,159.249741,70.62265,bad
1.452223,143.676514,56.065769,bad
2.108953,134.27301,44.352543,bad
3.062671,127.939308,35.882561,bad
4.447683,123.026314,29.950497,bad
6.459029,118.650986,25.921431,bad
9.379953,114.439186,23.326788,bad
13.621789,110.07843,21.586895,bad
19.781881,105.576965,20.256351,bad
28.727713,101.057053,19.002838,bad
41.719059,96.712494,17.644714,bad
60.585392,92.749786,16.184128,bad
87.983528,89.227379,14.788766,bad
127.771744,86.047478,13.604468,bad
185.553131,83.235199,12.589438,bad
269.4646,80.371292,11.759547,bad
391.322815,77.727814,10.990015,bad
568.288208,75.18045,10.131538,bad
825.281433,72.764305,9.325702,bad
1198.493042,70.470314,8.305558,bad
1740.479736,68.390556,7.146724,bad
2527.56543,66.550674,5.807812,bad
3670.589844,65.002747,4.206497,bad
5330.516602,63.940418,2.395753,bad
7741.101563,63.375576,0.472693,bad
11241.80957,63.101292,-1.361911,bad
16325.61914,62.38047,-2.842851,bad
23708.44727,59.880917,-4.796705,bad
34429.96484,54.407646,-9.747174,bad
50000,46.785999,-21.810249,bad
1,159.263657,70.687126,bad
1.452223,143.650894,55.961205,bad
2.108953,134.223114,44.326897,bad
3.062671,127.879738,35.852276,bad
4.447683,122.992371,29.931255,bad
6.459029,118.631271,25.911108,bad
9.379953,114.410805,23.321577,bad
13.621789,110.060242,21.575201,bad
19.781881,105.558571,20.247488,bad
28.727713,101.046753,18.993547,bad
41.719059,96.699394,17.636713,bad
60.585392,92.740097,16.182981,bad
87.983528,89.21859,14.791092,bad
127.771744,86.086853,13.642894,bad
185.553131,83.204651,12.57488,bad
269.4646,80.375664,11.761591,bad
391.322815,77.721756,11.001071,bad
568.288208,75.18132,10.146645,bad
825.281433,72.738449,9.327868,bad
1198.493042,70.458488,8.315718,bad
1740.479736,68.375809,7.162551,bad
2527.56543,66.483505,5.807605,bad
3670.589844,64.943283,4.19729,bad
5330.516602,63.789112,2.329998,bad
7741.101563,63.088314,0.310487,bad
11241.80957,62.6926,-1.686306,bad
16325.61914,61.827065,-3.519985,bad
23708.44727,59.186287,-6.177364,bad
34429.96484,53.923553,-12.302536,bad
50000,47.517246,-25.695986,bad
1,159.196228,70.597664,bad
1.452223,143.63472,56.004112,bad
2.108953,134.262054,44.328819,bad
3.062671,127.921379,35.865902,bad
4.447683,123.024139,29.950651,bad
6.459029,118.65126,25.932238,bad
9.379953,114.452049,23.324038,bad
13.621789,110.065796,21.592146,bad
19.781881,105.59082,20.263536,bad
28.727713,101.060928,19.013178,bad
41.719059,96.71032,17.654179,bad
60.585392,92.752007,16.190289,bad
87.983528,89.231636,14.796494,bad
127.771744,86.055931,13.589234,bad
185.553131,83.217987,12.594089,bad
269.4646,80.37841,11.783134,bad
391.322815,77.717262,10.996922,bad
568.288208,75.174599,10.142705,bad
825.281433,72.737183,9.312784,bad
1198.493042,70.462517,8.313047,bad
1740.479736,68.36834,7.133127,bad
2527.56543,66.474472,5.798799,bad
3670.589844,64.897652,4.16404,bad
5330.516602,63.627445,2.280657,bad
7741.101563,62.813591,0.197543,bad
11241.80957,62.195831,-1.997353,bad
16325.61914,61.026581,-4.331257,bad
23708.44727,58.266361,-8.024169,bad
34429.96484,53.561455,-15.681595,bad
50000,48.922775,-30.459965,bad
1,159.306854,70.661018,bad
1.452223,143.642838,56.02597,bad
2.108953,134.305588,44.369652,bad
3.062671,127.945946,35.886646,bad
4.447683,123.05114,29.963884,bad
6.459029,118.670975,25.94256,bad
9.379953,114.444199,23.341715,bad
13.621789,110.088326,21.603531,bad
19.781881,105.586983,20.268311,bad
28.727713,101.065552,19.01462,bad
41.719059,96.712929,17.655779,bad
60.585392,92.752747,16.192341,bad
87.983528,89.227768,14.798623,bad
127.771744,86.092773,13.59743,bad
185.553131,83.221695,12.561581,bad
269.4646,80.387115,11.785059,bad
391.322815,77.73188,10.983365,bad
568.288208,75.153015,10.143961,bad
825.281433,72.737366,9.314939,bad
1198.493042,70.43383,8.310027,bad
1740.479736,68.346062,7.143714,bad
2527.56543,66.414139,5.799031,bad
3670.589844,64.79393,4.160594,bad
5330.516602,63.452,2.229494,bad
7741.101563,62.44772,0.027943,bad
11241.80957,61.528934,-2.476883,bad
16325.61914,60.020142,-5.577951,bad
23708.44727,57.383274,-10.695197,bad
34429.96484,53.953808,-19.991913,bad
50000,51.631504,-35.561554,bad
1,159.315048,70.632919,bad
1.452223,143.745728,56.158405,bad
2.108953,134.333694,44.367306,bad
3.062671,127.980934,35.896187,bad
4.447683,123.078133,29.977114,bad
6.459029,118.699409,25.954834,bad
9.379953,114.47551,23.364111,bad
13.621789,110.10051,21.622164,bad
19.781881,105.601311,20.279799,bad
28.727713,101.067307,19.025309,bad
41.719059,96.720291,17.658468,bad
60.585392,92.759247,16.203918,bad
87.983528,89.236084,14.809151,bad
127.771744,86.093102,13.623364,bad
185.553131,83.202484,12.574922,bad
269.4646,80.356689,11.779395,bad
391.322815,77.741447,11.006784,bad
568.288208,75.171318,10.123409,bad
825.281433,72.734322,9.330383,bad
1198.493042,70.432213,8.314581,bad
1740.479736,68.365166,7.16446,bad
2527.56543,66.413704,5.805858,bad
3670.589844,64.780609,4.168152,bad
5330.516602,63.452774,2.239167,bad
7741.101563,62.427753,0.044972,bad
11241.80957,61.512177,-2.477201,bad
16325.61914,60.015255,-5.58199,bad
23708.44727,57.361149,-10.730239,bad
34429.96484,53.94978,-20.023239,bad
50000,51.659477,-35.526394,bad
1,159.28299,70.694801,bad
1.452223,143.7491,56.01989,bad
2.108953,134.340256,44.380245,bad
3.062671,128.016327,35.916531,bad
4.447683,123.100807,29.990662,bad
6.459029,118.708374,25.967587,bad
9.379953,114.477669,23.364012,bad
13.621789,110.107132,21.623854,bad
19.781881,105.604172,20.286015,bad
28.727713,101.078705,19.027836,bad
41.719059,96.721306,17.662693,bad
60.585392,92.759819,16.199072,bad
87.983528,89.238014,14.808085,bad
127.771744,86.088501,13.601806,bad
185.553131,83.20697,12.583486,bad
269.4646,80.393356,11.776245,bad
391.322815,77.724251,11.009625,bad
568.288208,75.163559,10.139017,bad
825.281433,72.753357,9.32445,bad
1198.493042,70.440269,8.309237,bad
1740.479736,68.360367,7.149939,bad
2527.56543,66.431541,5.805633,bad
3670.589844,64.816025,4.163545,bad
5330.516602,63.499748,2.266557,bad
7741.101563,62.524994,0.086193,bad
11241.80957,61.637814,-2.338453,bad
16325.61914,60.176022,-5.266161,bad
23708.44727,57.428802,-10.138037,bad
34429.96484,53.712399,-19.179081,bad
50000,51.004917,-34.673054,bad
1,159.539413,70.665375,bad
1.452223,143.692932,56.102985,bad
2.108953,134.320587,44.347919,bad
3.062671,127.967896,35.894501,bad
4.447683,123.062553,29.971733,bad
6.459029,118.67746,25.9424,bad
9.379953,114.451065,23.350065,bad
13.621789,110.086617,21.610157,bad
19.781881,105.589844,20.274527,bad
28.727713,101.066254,19.018896,bad
41.719059,96.717667,17.65687,bad
60.585392,92.754059,16.189548,bad
87.983528,89.232697,14.798429,bad
127.771744,86.045525,13.621785,bad
185.553131,83.184738,12.551472,bad
269.4646,80.361137,11.7836,bad
391.322815,77.73983,10.965745,bad
568.288208,75.181732,10.116307,bad
825.281433,72.739326,9.286567,bad
1198.493042,70.452438,8.266356,bad
1740.479736,68.348587,7.05976,bad
2527.56543,66.441414,5.673289,bad
3670.589844,64.802979,3.994176,bad
5330.516602,63.529892,2.035357,bad
7741.101563,62.534439,-0.254389,bad
11241.80957,61.634426,-2.844373,bad
16325.61914,60.159576,-6.05306,bad
23708.44727,57.481567,-11.38747,bad
34429.96484,54.053192,-21.146776,bad
50000,51.937992,-37.469826,bad
1,198.266068,111.068512,bad
1.452223,178.112381,87.556129,bad
2.108953,164.584335,68.423439,bad
3.062671,155.388885,54.702847,bad
4.447683,148.292847,45.140324,bad
6.459029,141.969162,38.551491,bad
9.379953,135.828201,34.175987,bad
13.621789,129.617294,31.040455,bad
19.781881,123.248604,28.538275,bad
28.727713,116.959206,26.108541,bad
41.719059,111.132774,23.488014,bad
60.585392,106.033539,20.788797,bad
87.983528,101.76442,18.2575,bad
127.771744,98.129585,16.079676,bad
185.553131,95.09758,14.468882,bad
269.4646,92.262627,13.218821,bad
391.322815,89.50106,12.143791,bad
568.288208,86.850845,11.258438,bad
825.281433,84.207489,10.354041,bad
1198.493042,81.720589,9.415036,bad
1740.479736,79.377449,8.332894,bad
2527.56543,77.223129,7.030047,bad
3670.589844,75.378738,5.536766,bad
5330.516602,73.794151,3.778902,bad
7741.101563,72.514244,1.834569,bad
11241.80957,71.258347,-0.289493,bad
16325.61914,69.301094,-2.865726,bad
23708.44727,65.860825,-7.307953,bad
34429.96484,61.265392,-16.19968,bad
50000,57.594498,-31.79841,bad
1,198.147598,111.089943,bad
1.452223,178.070663,87.578926,bad
2.108953,164.523956,68.460564,bad
3.062671,155.372894,54.679619,bad
4.447683,148.26387,45.129402,bad
6.459029,141.929596,38.52652,bad
9.379953,135.80336,34.153301,bad
13.621789,129.58754,31.018751,bad
19.781881,123.22879,28.5165,bad
28.727713,116.938957,26.092094,bad
41.719059,111.116615,23.467346,bad
60.585392,106.021461,20.774591,bad
87.983528,101.75309,18.246109,bad
127.771744,98.155632,16.087988,bad
185.553131,95.117157,14.47501,bad
269.4646,92.236801,13.223834,bad
391.322815,89.514099,12.091342,bad
568.288208,86.846001,11.28688,bad
825.281433,84.206612,10.369303,bad
1198.493042,81.718483,9.397867,bad
1740.479736,79.364304,8.333055,bad
2527.56543,77.2239,7.049975,bad
3670.589844,75.377876,5.546413,bad
5330.516602,73.777016,3.771513,bad
7741.101563,72.477203,1.819309,bad
11241.80957,71.199509,-0.308811,bad
16325.61914,69.243416,-2.950349,bad
23708.44727,65.812706,-7.465611,bad
34429.96484,61.309898,-16.450481,bad
50000,57.699627,-32.092712,bad
1,198.111374,110.851219,bad
1.452223,178.046646,87.586983,bad
2.108953,164.504242,68.417404,bad
3.062671,155.315582,54.651421,bad
4.447683,148.241669,45.122326,bad
6.459029,141.923172,38.528839,bad
9.379953,135.787277,34.132381,bad
13.621789,129.571014,31.000429,bad
19.781881,123.221382,28.508604,bad
28.727713,116.939369,26.081055,bad
41.719059,111.111954,23.457302,bad
60.585392,106.011032,20.771393,bad
87.983528,101.750969,18.242241,bad
127.771744,98.115898,16.021521,bad
185.553131,95.114716,14.459918,bad
269.4646,92.274895,13.192536,bad
391.322815,89.490334,12.092297,bad
568.288208,86.839638,11.289414,bad
825.281433,84.190437,10.357652,bad
1198.493042,81.734558,9.404605,bad
1740.479736,79.348419,8.342491,bad
2527.56543,77.220161,7.044252,bad
3670.589844,75.356483,5.557137,bad
5330.516602,73.763626,3.774536,bad
7741.101563,72.478691,1.80852,bad
11241.80957,71.147011,-0.342162,bad
16325.61914,69.190552,-3.00839,bad
23708.44727,65.791618,-7.615043,bad
34429.96484,61.365498,-16.658951,bad
50000,57.952995,-32.2714,bad
1,198.21228,111.021996,bad
1.452223,177.980881,87.531212,bad
2.108953,164.460892,68.402496,bad
3.062671,155.257065,54.649239,bad
4.447683,148.183685,45.100487,bad
6.459029,141.859726,38.500137,bad
9.379953,135.732086,34.108894,bad
13.621789,129.545425,30.976263,bad
19.781881,123.192024,28.479177,bad
28.727713,116.919502,26.053568,bad
41.719059,111.097313,23.442968,bad
60.585392,106.005112,20.754967,bad
87.983528,101.741776,18.234709,bad
127.771744,98.060173,16.056791,bad
185.553131,95.099434,14.451547,bad
269.4646,92.249023,13.19539,bad
391.322815,89.491203,12.113896,bad
568.288208,86.85276,11.253996,bad
825.281433,84.202271,10.343636,bad
1198.493042,81.720856,9.417182,bad
1740.479736,79.345146,8.336488,bad
2527.56543,77.221031,7.030599,bad
3670.589844,75.348503,5.548639,bad
5330.516602,73.766609,3.775268,bad
7741.101563,72.450966,1.808632,bad
11241.80957,71.154823,-0.343455,bad
16325.61914,69.173851,-3.01806,bad
23708.44727,65.759201,-7.656061,bad
34429.96484,61.366821,-16.711634,bad
50000,57.983505,-32.350906,bad
1,198.137848,110.84404,bad
1.452223,177.91806,87.44519,bad
2.108953,164.38707,68.361816,bad
3.062671,155.192612,54.603977,bad
4.447683,148.118439,45.068321,bad
6.459029,141.81369,38.475327,bad
9.379953,135.696365,34.084538,bad
13.621789,129.509186,30.955025,bad
19.781881,123.171745,28.453102,bad
28.727713,116.905319,26.033936,bad
41.719059,111.086891,23.427614,bad
60.585392,105.999352,20.74544,bad
87.983528,101.732597,18.227179,bad
127.771744,98.060173,16.056791,bad
185.553131,95.084099,14.441015,bad
269.4646,92.227753,13.208933,bad
391.322815,89.487305,12.070783,bad
568.288208,86.846909,11.265165,bad
825.281433,84.213409,10.347034,bad
1198.493042,81.712303,9.400805,bad
1740.479736,79.355782,8.33458,bad
2527.56543,77.226982,7.044689,bad
3670.589844,75.364548,5.553971,bad
5330.516602,73.783318,3.765168,bad
7741.101563,72.501915,1.834621,bad
11241.80957,71.23275,-0.264857,bad
16325.61914,69.262169,-2.848487,bad
23708.44727,65.83815,-7.299882,bad
34429.96484,61.236828,-16.188492,bad
50000,57.536774,-31.784483,bad
1,261.634247,108.903694,bad
1.452223,240.39621,89.046555,bad
2.108953,224.503372,71.168007,bad
3.062671,213.684128,57.679359,bad
4.447683,205.496902,48.020782,bad
6.459029,198.500122,41.334064,bad
9.379953,191.942993,37.0634,bad
13.621789,185.253036,34.295269,bad
19.781881,178.394409,32.448265,bad
28.727713,171.281738,30.923595,bad
41.719059,164.227417,29.390139,bad
60.585392,157.467926,27.699932,bad
87.983528,151.234512,26.004637,bad
127.771744,145.451935,24.577984,bad
185.553131,140.033081,23.251026,bad
269.4646,134.903137,22.12483,bad
391.322815,129.891846,21.134356,bad
568.288208,124.925018,20.201138,bad
825.281433,120.187569,19.194366,bad
1198.493042,115.578804,18.151333,bad
1740.479736,111.192612,16.956711,bad
2527.56543,107.018677,15.613071,bad
3670.589844,103.07325,14.011436,bad
5330.516602,99.329979,12.133949,bad
7741.101563,95.824074,10.029086,bad
11241.80957,92.11676,7.481984,bad
16325.61914,87.680038,3.885077,bad
23708.44727,82.066933,-2.306218,bad
34429.96484,76.066788,-13.330145,bad
50000,71.545692,-31.162945,bad
1,261.402924,108.964302,bad
1.452223,240.433929,89.097275,bad
2.108953,224.548813,71.174217,bad
3.062671,213.725449,57.684334,bad
4.447683,205.514343,48.02169,bad
6.459029,198.512985,41.329418,bad
9.379953,191.949554,37.065273,bad
13.621789,185.266296,34.298649,bad
19.781881,178.412323,32.452824,bad
28.727713,171.306992,30.930439,bad
41.719059,164.251587,29.397699,bad
60.585392,157.503159,27.701151,bad
87.983528,151.26535,26.010313,bad
127.771744,145.508469,24.605415,bad
185.553131,140.069427,23.228746,bad
269.4646,134.928314,22.096031,bad
391.322815,129.89505,21.160196,bad
568.288208,124.949135,20.20624,bad
825.281433,120.227768,19.182293,bad
1198.493042,115.61232,18.158112,bad
1740.479736,111.222931,16.966652,bad
2527.56543,107.030251,15.614502,bad
3670.589844,103.088364,14.038065,bad
5330.516602,99.335587,12.143229,bad
7741.101563,95.807175,10.03994,bad
11241.80957,92.075104,7.424581,bad
16325.61914,87.638115,3.776414,bad
23708.44727,82.065323,-2.513179,bad
34429.96484,76.225189,-13.584277,bad
50000,71.93576,-31.455362,bad
1,261.199402,108.535995,bad
1.452223,240.526459,89.121193,bad
2.108953,224.561813,71.171967,bad
3.062671,213.723511,57.690895,bad
4.447683,205.511719,48.015377,bad
6.459029,198.508667,41.329529,bad
9.379953,191.95163,37.063015,bad
13.621789,185.261353,34.290329,bad
19.781881,178.408997,32.442307,bad
28.727713,171.305603,30.921888,bad
41.719059,164.249039,29.387146,bad
60.585392,157.500931,27.694994,bad
87.983528,151.268143,26.006254,bad
127.771744,145.434891,24.597635,bad
185.553131,140.075546,23.209183,bad
269.4646,134.950439,22.114889,bad
391.322815,129.922363,21.139635,bad
568.288208,124.944946,20.208649,bad
825.281433,120.228867,19.195221,bad
1198.493042,115.609947,18.138798,bad
1740.479736,111.21656,16.967794,bad
2527.56543,107.030571,15.598756,bad
3670.589844,103.08548,14.048503,bad
5330.516602,99.369514,12.165802,bad
7741.101563,95.883003,10.118217,bad
11241.80957,92.217804,7.62168,bad
16325.61914,87.796867,4.164605,bad
23708.44727,82.054558,-1.825044,bad
34429.96484,75.835144,-12.72353,bad
50000,71.022781,-30.594688,bad
1,261.606689,109.121338,bad
1.452223,240.298294,89.154587,bad
2.108953,224.585556,71.165337,bad
3.062671,213.761063,57.711159,bad
4.447683,205.583099,48.042747,bad
6.459029,198.571762,41.345264,bad
9.379953,192.023788,37.079235,bad
13.621789,185.32608,34.316006,bad
19.781881,178.468704,32.470589,bad
28.727713,171.366425,30.944878,bad
41.719059,164.305237,29.407066,bad
